	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
VARIABLES	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso	trade	cap	inter	conso
																												
rta	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**	0.363***	0.375***	0.350***	0.247**
	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)	(0.101)	(0.135)	(0.111)	(0.120)
lnpop_i	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***	-0.009	0.156	-0.151**	0.299***
	(0.073)	(0.099)	(0.063)	(0.084)	(0.073)	(0.099)	(0.063)	(0.084)	(0.073)	(0.099)	(0.063)	(0.084)	(0.073)	(0.099)	(0.063)	(0.084)	(0.073)	(0.099)	(0.063)	(0.084)	(0.073)	(0.099)	(0.063)	(0.084)	(0.073)	(0.099)	(0.063)	(0.084)
lnpop_j	-0.151***	-0.203**	0.013	-0.547***	-0.151***	-0.203**	0.013	-0.547***	-0.151***	-0.203**	0.013	-0.547***	-0.151***	-0.203**	0.013	-0.547***	-0.151***	-0.203**	0.013	-0.547***	-0.151***	-0.203**	0.013	-0.547***	-0.151***	-0.203**	0.013	-0.547***
	(0.055)	(0.080)	(0.049)	(0.077)	(0.055)	(0.080)	(0.049)	(0.077)	(0.055)	(0.080)	(0.049)	(0.077)	(0.055)	(0.080)	(0.049)	(0.077)	(0.055)	(0.080)	(0.049)	(0.077)	(0.055)	(0.080)	(0.049)	(0.077)	(0.055)	(0.080)	(0.049)	(0.077)
wto_o	0.080	2.520***	-0.400*	0.335	0.080	2.520***	-0.400*	0.335	0.080	2.520***	-0.400*	0.335	0.080	2.520***	-0.400*	0.335	0.080	2.520***	-0.400*	0.335	0.080	2.520***	-0.400*	0.335	0.080	2.520***	-0.400*	0.335
	(0.212)	(0.337)	(0.210)	(0.262)	(0.212)	(0.337)	(0.210)	(0.262)	(0.212)	(0.337)	(0.210)	(0.262)	(0.212)	(0.337)	(0.210)	(0.262)	(0.212)	(0.337)	(0.210)	(0.262)	(0.212)	(0.337)	(0.210)	(0.262)	(0.212)	(0.337)	(0.210)	(0.262)
wto_d	-0.027	-0.285	0.491*	-0.543***	-0.027	-0.285	0.491*	-0.543***	-0.027	-0.285	0.491*	-0.543***	-0.027	-0.285	0.491*	-0.543***	-0.027	-0.285	0.491*	-0.543***	-0.027	-0.285	0.491*	-0.543***	-0.027	-0.285	0.491*	-0.543***
	(0.239)	(0.297)	(0.294)	(0.199)	(0.239)	(0.297)	(0.294)	(0.199)	(0.239)	(0.297)	(0.294)	(0.199)	(0.239)	(0.297)	(0.294)	(0.199)	(0.239)	(0.297)	(0.294)	(0.199)	(0.239)	(0.297)	(0.294)	(0.199)	(0.239)	(0.297)	(0.294)	(0.199)
